city,month,genre,total_views,unique_viewers,avg_completion_pct,avg_rating,revenue_usd
New York,2025-01,Action,37405,10437,64.5,7.2,4067
New York,2025-01,Drama,28051,5205,56.1,6.8,19928
New York,2025-01,Comedy,14922,15724,50.6,7.5,76926
New York,2025-01,Sci-Fi,2267,5164,86.5,5.9,90038
New York,2025-01,Thriller,38065,2055,46.7,8.3,57152
New York,2025-01,Romance,21232,9136,86.0,7.9,83272
New York,2025-02,Action,42296,14880,47.6,8.6,37774
New York,2025-02,Drama,31040,14835,72.3,7.8,10253
New York,2025-02,Comedy,41598,14787,64.8,6.3,27545
New York,2025-02,Sci-Fi,39385,17397,48.6,8.3,72387
New York,2025-02,Thriller,35941,1503,84.6,8.0,61656
New York,2025-02,Romance,34197,2372,61.6,5.3,65764
New York,2025-03,Action,39987,2103,71.2,6.2,67837
New York,2025-03,Drama,40380,12999,52.9,8.3,28537
New York,2025-03,Comedy,33630,8836,70.9,6.8,27917
New York,2025-03,Sci-Fi,34914,948,85.5,8.8,90816
New York,2025-03,Thriller,31890,13261,48.7,6.0,53317
New York,2025-03,Romance,45146,3764,53.5,8.7,88543
New York,2025-04,Action,39993,1112,74.7,6.3,12562
New York,2025-04,Drama,36360,18118,49.7,8.7,85808
New York,2025-04,Comedy,35890,17337,75.2,8.4,13883
New York,2025-04,Sci-Fi,33972,4584,83.3,5.1,65022
New York,2025-04,Thriller,961,13365,63.2,8.0,79117
New York,2025-04,Romance,2901,4080,47.2,7.3,29763
New York,2025-05,Action,32025,5008,72.7,5.6,73519
New York,2025-05,Drama,40260,7768,55.5,8.6,68027
New York,2025-05,Comedy,43934,14508,76.1,7.4,60522
New York,2025-05,Sci-Fi,3529,8149,78.6,5.2,65334
New York,2025-05,Thriller,21989,15281,69.0,6.7,68969
New York,2025-05,Romance,48315,7582,91.8,5.8,47440
Los Angeles,2025-01,Action,45753,14817,45.6,6.9,31949
Los Angeles,2025-01,Drama,48979,3527,81.0,8.4,87271
