review_id,viewer_id,movie_id,rating,sentiment,review_date,helpful_votes
R0001,V0078,M017,2,Neutral,2025-04-22,185
R0002,V0069,M012,5,Positive,2025-01-03,82
R0003,V0274,M024,10,Negative,2025-02-13,4
R0004,V0043,M007,1,Negative,2025-03-25,199
R0005,V0024,M016,4,Neutral,2025-01-23,136
R0006,V0139,M007,2,Positive,2025-03-11,172
R0007,V0268,M009,7,Positive,2025-04-05,78
R0008,V0093,M001,8,Neutral,2025-04-25,188
R0009,V0131,M018,2,Positive,2025-01-10,56
R0010,V0139,M002,8,Negative,2025-04-09,133
R0011,V0006,M010,5,Positive,2025-03-06,54
R0012,V0125,M001,8,Positive,2025-04-08,101
R0013,V0037,M025,7,Positive,2025-03-03,138
R0014,V0107,M011,8,Positive,2025-03-18,106
R0015,V0085,M011,5,Neutral,2025-03-04,119
R0016,V0279,M016,3,Neutral,2025-01-21,193
R0017,V0300,M012,4,Neutral,2025-04-30,141
R0018,V0058,M020,2,Positive,2025-03-18,168
R0019,V0040,M024,5,Positive,2025-03-01,132
R0020,V0228,M008,6,Negative,2025-04-11,191
R0021,V0250,M013,10,Negative,2025-04-05,8
R0022,V0042,M011,1,Positive,2025-04-27,115
R0023,V0118,M022,8,Positive,2025-04-09,147
R0024,V0095,M024,2,Positive,2025-01-11,198
R0025,V0261,M010,9,Positive,2025-02-17,85
R0026,V0021,M021,1,Neutral,2025-02-09,166
R0027,V0200,M012,9,Neutral,2025-03-25,5
R0028,V0176,M006,5,Positive,2025-04-12,93
R0029,V0189,M009,7,Neutral,2025-01-21,8
R0030,V0232,M013,6,Positive,2025-03-12,58
R0031,V0181,M001,4,Neutral,2025-03-11,68
R0032,V0250,M002,7,Negative,2025-04-25,130
R0033,V0058,M013,4,Positive,2025-02-05,6
R0034,V0104,M005,7,Neutral,2025-01-16,165
R0035,V0183,M013,8,Positive,2025-04-06,5
R0036,V0238,M011,7,Neutral,2025-02-17,179
R0037,V0053,M006,2,Negative,2025-01-02,34
R0038,V0150,M016,3,Positive,2025-01-16,107
R0039,V0269,M016,7,Neutral,2025-05-07,147
R0040,V0287,M015,5,Positive,2025-04-29,157
R0041,V0101,M024,1,Negative,2025-04-08,115
R0042,V0055,M022,9,Negative,2025-05-07,110
R0043,V0063,M022,6,Positive,2025-01-25,128
R0044,V0036,M010,6,Negative,2025-04-25,11
R0045,V0193,M012,7,Neutral,2025-01-17,192
R0046,V0213,M021,4,Negative,2025-02-06,106
R0047,V0095,M017,4,Positive,2025-02-28,174
R0048,V0275,M005,3,Negative,2025-02-10,177
R0049,V0103,M005,10,Negative,2025-03-04,193
R0050,V0246,M001,8,Neutral,2025-01-23,6
R0051,V0263,M005,6,Positive,2025-01-23,5
R0052,V0126,M008,5,Negative,2025-01-30,35
R0053,V0271,M022,3,Positive,2025-02-16,177
R0054,V0208,M021,8,Positive,2025-03-24,67
R0055,V0045,M012,9,Neutral,2025-03-17,195
R0056,V0231,M025,2,Negative,2025-01-31,102
R0057,V0074,M015,8,Positive,2025-01-03,104
R0058,V0284,M010,7,Positive,2025-02-15,47
R0059,V0004,M001,1,Positive,2025-01-13,102
R0060,V0119,M005,3,Negative,2025-02-27,173
R0061,V0300,M001,1,Neutral,2025-02-16,49
R0062,V0210,M011,10,Negative,2025-03-28,45
R0063,V0188,M006,9,Negative,2025-04-14,20
R0064,V0190,M015,10,Negative,2025-05-05,40
R0065,V0018,M007,8,Positive,2025-02-12,143
R0066,V0172,M005,3,Neutral,2025-05-01,179
R0067,V0190,M005,6,Positive,2025-04-07,197
R0068,V0248,M003,4,Neutral,2025-04-21,23
R0069,V0151,M021,8,Positive,2025-03-18,136
R0070,V0224,M017,7,Positive,2025-02-12,156
R0071,V0081,M018,5,Positive,2025-04-09,103
R0072,V0084,M002,10,Positive,2025-02-05,40
R0073,V0094,M006,1,Positive,2025-03-20,183
R0074,V0295,M013,10,Negative,2025-02-06,175
R0075,V0071,M023,4,Positive,2025-04-28,172
R0076,V0231,M011,4,Positive,2025-03-08,77
R0077,V0231,M001,10,Positive,2025-04-03,28
R0078,V0218,M004,5,Positive,2025-02-19,198
R0079,V0172,M005,10,Negative,2025-01-11,107
R0080,V0139,M019,8,Positive,2025-04-04,97
R0081,V0037,M020,10,Positive,2025-02-01,16
R0082,V0141,M012,10,Positive,2025-04-28,137
R0083,V0243,M018,8,Positive,2025-04-08,0
R0084,V0023,M016,6,Positive,2025-02-14,155
R0085,V0069,M014,9,Positive,2025-04-13,69
R0086,V0134,M015,4,Negative,2025-02-27,131
R0087,V0184,M002,5,Positive,2025-05-05,13
R0088,V0278,M015,3,Positive,2025-03-17,119
R0089,V0207,M001,9,Positive,2025-05-06,106
R0090,V0260,M021,8,Negative,2025-01-12,1
R0091,V0116,M007,7,Neutral,2025-01-18,164
R0092,V0173,M003,5,Positive,2025-03-22,173
R0093,V0108,M021,2,Positive,2025-04-12,165
R0094,V0355,M001,9,Negative,2025-04-27,193
R0095,V0201,M016,1,Positive,2025-02-26,97
R0096,V0132,M008,5,Negative,2025-03-16,185
R0097,V0249,M005,3,Negative,2025-04-18,23
R0098,V0194,M004,6,Positive,2025-05-04,51
R0099,V0142,M016,8,Positive,2025-04-07,29
R0100,V0284,M022,8,Positive,2025-01-11,153
R0101,V0203,M023,3,Neutral,2025-03-26,161
R0102,V0204,M025,5,Positive,2025-01-07,114
R0103,V0079,M021,1,Positive,2025-03-13,7
R0104,V0286,M016,9,Negative,2025-02-01,8
R0105,V0210,M020,9,Positive,2025-02-24,116
R0106,V0071,M002,3,Neutral,2025-04-17,38
R0107,V0013,M001,9,Positive,2025-04-15,153
R0108,V0126,M002,7,Negative,2025-01-21,44
R0109,V0271,M007,5,Positive,2025-01-11,134
R0110,V0174,M022,6,Positive,2025-01-21,169
R0111,V0276,M020,1,Neutral,2025-04-01,37
R0112,V0187,M005,9,Negative,2025-03-07,168
R0113,V0057,M019,10,Positive,2025-04-10,144
R0114,V0160,M021,3,Neutral,2025-01-31,161
R0115,V0071,M011,5,Positive,2025-04-07,19
R0116,V0008,M021,7,Negative,2025-02-06,0
R0117,V0286,M007,7,Negative,2025-01-17,175
R0118,V0196,M017,2,Negative,2025-02-01,98
R0119,V0106,M006,2,Positive,2025-03-17,120
R0120,V0157,M016,7,Neutral,2025-05-07,33
R0121,V0188,M007,1,Negative,2025-05-06,8
R0122,V0052,M002,9,Positive,2025-01-16,4
R0123,V0258,M009,4,Negative,2025-02-26,30
R0124,V0229,M005,8,Positive,2025-02-16,162
R0125,V0070,M010,3,Neutral,2025-03-14,49
R0126,V0143,M010,5,Positive,2025-04-19,68
R0127,V0120,M014,4,Positive,2025-02-07,152
R0128,V0087,M017,7,Positive,2025-04-17,164
R0129,V0250,M013,5,Positive,2025-02-05,133
R0130,V0125,M018,8,Positive,2025-04-29,20
R0131,V0285,M009,3,Positive,2025-02-06,188
R0132,V0148,M001,5,Positive,2025-02-22,76
R0133,V0032,M022,3,Positive,2025-01-31,55
R0134,V0229,M015,7,Negative,2025-03-19,4
R0135,V0156,M001,10,Positive,2025-01-11,39
R0136,V0071,M015,4,Neutral,2025-01-26,93
R0137,V0216,M015,4,Positive,2025-01-03,46
R0138,V0066,M019,9,Positive,2025-04-11,145
R0139,V0071,M018,8,Neutral,2025-01-12,180
R0140,V0077,M010,1,Positive,2025-01-17,156
R0141,V0138,M012,7,Neutral,2025-01-08,0
R0142,V0005,M007,3,Positive,2025-02-23,62
R0143,V0292,M004,7,Positive,2025-01-25,34
R0144,V0043,M008,5,Positive,2025-01-19,90
R0145,V0206,M017,6,Positive,2025-02-28,178
R0146,V0299,M001,7,Positive,2025-01-31,128
R0147,V0138,M004,2,Negative,2025-01-24,112
R0148,V0282,M011,6,Positive,2025-01-26,173
R0149,V0259,M012,1,Positive,2025-04-25,102
R0150,V0249,M025,5,Negative,2025-01-19,139
R0151,V0161,M022,3,Positive,2025-05-07,90
R0152,V0070,M011,10,Neutral,2025-03-02,127
R0153,V0294,M005,4,Negative,2025-01-24,94
R0154,V0119,M005,5,Neutral,2025-02-21,105
R0155,V0177,M003,3,Positive,2025-01-05,32
R0156,V0369,M001,4,Neutral,2025-05-01,9
R0157,V0214,M003,7,Neutral,2025-01-21,118
R0158,V0164,M011,10,Negative,2025-02-27,135
R0159,V0078,M016,7,Positive,2025-02-26,149
R0160,V0220,M001,2,Positive,2025-04-29,95
R0161,V0297,M012,10,Positive,2025-01-23,145
R0162,V0101,M015,8,Positive,2025-03-01,34
R0163,V0254,M001,1,Positive,2025-04-18,47
R0164,V0252,M024,10,Negative,2025-01-09,99
R0165,V0007,M017,3,Positive,2025-02-10,105
R0166,V0035,M021,10,Negative,2025-05-02,32
R0167,V0071,M009,1,Neutral,2025-05-08,106
R0168,V0068,M018,7,Positive,2025-02-27,116
R0169,V0099,M016,10,Negative,2025-03-13,104
