viewer_id,age,gender,city,country,subscription_tier,segment,signup_date,is_active
V0001,64,Other,London,US,Family,Power-User,2022-07-14,True
V0002,24,Other,San Antonio,US,Family,Power-User,2024-06-03,True
V0003,61,Other,Toronto,IN,Premium,Casual,2022-09-12,True
V0004,30,Other,Dallas,CA,Premium,Power-User,2022-09-13,True
V0005,46,Other,Los Angeles,UK,Free,Binge-Watcher,2022-06-20,False
V0006,49,F,Houston,US,Free,Binge-Watcher,2023-01-24,True
V0007,42,F,Dallas,US,Family,Binge-Watcher,2022-07-14,True
V0008,31,M,London,US,Free,Weekend-Only,2022-02-28,True
V0009,55,F,Mumbai,US,Basic,Casual,2023-06-05,True
V0010,29,M,London,CA,Family,Casual,2023-08-07,True
V0011,55,Other,New York,US,Family,New-User,2023-08-02,True
V0012,34,M,Toronto,US,Basic,Weekend-Only,2023-02-10,True
V0013,60,Other,Phoenix,US,Free,Casual,2023-04-15,True
V0014,22,Other,Houston,US,Basic,Weekend-Only,2022-03-12,True
V0015,41,F,Chicago,US,Premium,New-User,2024-04-06,True
V0016,60,Other,Phoenix,US,Free,Binge-Watcher,2022-09-28,True
V0017,24,Other,Mumbai,AU,Basic,Weekend-Only,2022-07-28,True
V0018,50,F,Phoenix,US,Free,Casual,2023-10-12,False
V0019,35,M,New York,US,Basic,Weekend-Only,2022-06-15,False
V0020,53,Other,San Antonio,US,Free,Casual,2023-12-09,True
V0021,52,M,Philadelphia,US,Basic,Power-User,2022-05-11,True
V0022,37,F,New York,US,Basic,Binge-Watcher,2023-11-14,True
V0023,40,Other,San Antonio,US,Basic,Binge-Watcher,2024-06-04,True
V0024,29,F,New York,AU,Family,Binge-Watcher,2022-10-01,True
V0025,62,M,San Antonio,US,Family,Binge-Watcher,2022-07-24,False
V0026,40,F,Houston,US,Basic,Power-User,2022-12-03,True
V0027,22,F,Philadelphia,US,Family,New-User,2022-12-06,True
V0028,25,F,Chicago,US,Premium,Casual,2022-04-22,False
V0029,40,Other,Philadelphia,US,Free,Power-User,2023-08-14,True
V0030,34,M,Sydney,US,Basic,Weekend-Only,2023-03-18,True
V0031,60,F,London,US,Free,Weekend-Only,2023-06-04,True
V0032,60,F,Philadelphia,US,Premium,New-User,2022-05-11,True
V0033,44,Other,San Antonio,US,Basic,New-User,2023-08-06,True
V0034,43,Other,New York,US,Basic,Power-User,2024-03-15,True
V0035,47,F,Dallas,US,Family,Binge-Watcher,2023-11-06,True
V0036,36,Other,Toronto,US,Premium,Casual,2024-04-18,True
V0037,61,F,Houston,US,Basic,Casual,2022-02-17,True
V0038,48,Other,Los Angeles,US,Basic,Power-User,2023-05-22,False
V0039,33,M,Toronto,US,Free,Power-User,2022-08-13,True
V0040,62,Other,Dallas,CA,Free,Power-User,2022-05-17,False
V0041,60,Other,Mumbai,US,Family,New-User,2024-04-14,False
V0042,53,F,Chicago,US,Family,Power-User,2022-09-23,True
V0043,58,F,Mumbai,US,Basic,Weekend-Only,2023-03-27,True
V0044,63,F,Houston,US,Premium,New-User,2022-03-24,True
V0045,27,M,San Antonio,US,Basic,Casual,2023-03-01,False
V0046,39,Other,Dallas,US,Basic,Power-User,2023-02-03,True
V0047,54,F,Dallas,AU,Premium,Power-User,2024-05-23,False
V0048,52,Other,Sydney,US,Basic,Power-User,2022-08-13,True
V0049,45,F,New York,US,Family,Binge-Watcher,2024-05-10,False
V0050,26,Other,Mumbai,IN,Free,Casual,2023-10-21,False
V0051,26,F,Chicago,IN,Premium,Binge-Watcher,2023-04-11,True
V0052,39,F,Phoenix,US,Family,Weekend-Only,2024-05-04,True
V0053,48,M,Sydney,US,Premium,Binge-Watcher,2023-10-28,True
V0054,59,M,New York,US,Basic,Casual,2023-09-29,True
V0055,33,M,Dallas,US,Basic,Power-User,2023-12-18,True
V0056,41,M,London,US,Free,Binge-Watcher,2022-11-15,True
V0057,55,M,Phoenix,US,Family,Power-User,2024-01-03,True
V0058,22,Other,Sydney,US,Basic,Casual,2023-12-15,True
V0059,61,Other,Los Angeles,US,Free,Weekend-Only,2023-06-30,False
V0060,60,F,Los Angeles,US,Premium,Casual,2024-05-19,False
V0061,49,M,San Antonio,US,Family,Binge-Watcher,2023-03-22,True
V0062,64,Other,Toronto,US,Family,Power-User,2023-03-23,True
V0063,38,M,Los Angeles,US,Family,Binge-Watcher,2024-02-08,False
V0064,54,Other,Toronto,US,Free,Power-User,2024-05-21,True
V0065,29,F,Houston,US,Premium,Weekend-Only,2022-10-14,True
V0066,53,M,Mumbai,US,Free,Binge-Watcher,2024-01-08,False
V0067,49,Other,Houston,US,Family,Power-User,2024-03-22,True
V0068,23,F,Houston,US,Basic,Weekend-Only,2023-11-11,True
V0069,48,Other,Mumbai,US,Premium,Weekend-Only,2023-12-21,False
V0070,35,F,Phoenix,US,Basic,Weekend-Only,2022-05-03,True
V0071,30,M,Sydney,US,Premium,Casual,2024-05-02,True
V0072,36,M,Philadelphia,UK,Basic,Weekend-Only,2022-02-16,True
V0073,53,F,Sydney,US,Family,Casual,2024-06-12,True
V0074,54,F,Dallas,US,Premium,Binge-Watcher,2022-02-22,True
V0075,48,M,Los Angeles,US,Free,New-User,2023-10-07,True
V0076,27,M,London,US,Free,Binge-Watcher,2022-05-02,False
V0077,56,Other,London,US,Family,Power-User,2023-03-30,True
V0078,55,F,Phoenix,US,Free,New-User,2024-01-28,True
V0079,31,Other,Houston,US,Free,Binge-Watcher,2022-09-03,True
V0080,53,M,Chicago,IN,Family,Weekend-Only,2022-02-03,True
V0081,36,Other,Phoenix,US,Family,Casual,2023-12-05,True
V0082,34,Other,London,US,Basic,Power-User,2022-04-28,True
V0083,59,M,Phoenix,US,Free,Casual,2022-06-19,True
V0084,56,Other,London,US,Family,Casual,2023-04-25,True
V0085,62,F,Phoenix,US,Family,Power-User,2022-03-24,True
V0086,45,Other,Philadelphia,US,Free,Casual,2022-08-23,True
V0087,61,F,London,CA,Family,New-User,2023-10-30,False
V0088,35,M,London,US,Family,Casual,2023-04-27,True
V0089,44,F,Philadelphia,US,Basic,Weekend-Only,2023-02-26,False
V0090,36,Other,San Antonio,US,Free,Power-User,2022-04-01,True
V0091,34,F,Los Angeles,US,Family,New-User,2024-04-24,True
V0092,60,Other,Dallas,US,Basic,New-User,2023-01-06,False
V0093,58,F,New York,US,Basic,Weekend-Only,2023-03-25,False
V0094,25,M,Toronto,US,Basic,Binge-Watcher,2022-11-15,True
V0095,53,F,Los Angeles,US,Free,Power-User,2022-05-01,True
V0096,49,Other,Phoenix,US,Premium,Power-User,2024-05-04,False
V0097,48,M,Dallas,US,Family,Binge-Watcher,2023-09-06,True
V0098,22,F,San Antonio,US,Premium,Casual,2022-10-17,True
V0099,55,Other,Toronto,US,Basic,Power-User,2023-07-06,False
V0100,40,F,Mumbai,US,Family,Power-User,2022-11-26,True
V0101,62,M,London,US,Family,Casual,2022-11-22,False
V0102,63,F,San Antonio,US,Basic,Power-User,2022-02-07,True
V0103,50,Other,Philadelphia,US,Family,Casual,2023-06-23,False
V0104,18,Other,Chicago,US,Basic,Casual,2023-04-26,True
V0105,39,Other,Sydney,US,Free,Weekend-Only,2024-05-22,False
V0106,38,Other,Sydney,US,Family,New-User,2022-02-06,True
V0107,33,Other,Toronto,US,Basic,Casual,2023-03-21,True
V0108,58,Other,Los Angeles,US,Premium,Casual,2022-02-17,True
V0109,21,F,Philadelphia,US,Basic,Binge-Watcher,2023-06-28,False
V0110,54,Other,Chicago,UK,Family,New-User,2023-12-01,True
V0111,49,Other,Chicago,US,Premium,Power-User,2022-09-19,True
V0112,47,F,Toronto,US,Free,Power-User,2022-12-20,True
V0113,58,F,Sydney,US,Premium,Binge-Watcher,2023-01-29,False
V0114,24,M,San Antonio,US,Premium,Weekend-Only,2022-01-23,False
V0115,35,M,London,US,Free,New-User,2024-02-03,False
V0116,36,M,London,US,Basic,Binge-Watcher,2023-09-28,True
V0117,61,Other,Toronto,US,Basic,Casual,2023-10-05,True
V0118,37,F,New York,US,Basic,Casual,2022-10-30,True
V0119,44,M,Houston,AU,Premium,Binge-Watcher,2022-09-21,False
V0120,36,Other,Philadelphia,US,Family,Casual,2022-05-25,True
V0121,61,Other,Toronto,US,Premium,Casual,2024-03-20,False
V0122,18,F,Mumbai,AU,Premium,New-User,2023-01-26,True
V0123,24,Other,Houston,US,Premium,New-User,2022-08-15,True
V0124,58,F,Sydney,US,Family,Casual,2022-05-24,True
V0125,20,F,Dallas,CA,Basic,Power-User,2023-04-10,True
V0126,60,Other,Sydney,US,Family,New-User,2024-01-31,True
V0127,44,Other,Los Angeles,US,Family,Weekend-Only,2022-02-03,True
V0128,31,F,Dallas,US,Premium,Casual,2023-12-04,True
V0129,52,Other,Philadelphia,AU,Basic,Casual,2024-05-18,False
V0130,23,Other,Houston,US,Free,Casual,2024-03-16,True
V0131,33,M,London,US,Basic,New-User,2022-08-10,True
V0132,39,M,London,CA,Basic,New-User,2022-09-14,True
V0133,25,Other,New York,AU,Basic,New-User,2022-11-28,True
V0134,29,F,New York,IN,Free,Casual,2023-05-03,False
V0135,41,Other,London,CA,Free,New-User,2022-11-05,False
V0136,59,M,New York,US,Family,Power-User,2023-12-04,True
V0137,49,Other,Dallas,UK,Premium,New-User,2022-06-01,True
V0138,26,F,London,US,Premium,Power-User,2023-09-04,True
V0139,47,Other,London,US,Free,New-User,2024-01-09,True
V0140,45,F,Houston,US,Family,Power-User,2023-03-02,True
V0141,38,F,Philadelphia,US,Premium,Binge-Watcher,2023-12-05,False
V0142,22,M,Los Angeles,UK,Premium,Binge-Watcher,2023-07-24,True
V0143,55,Other,Mumbai,US,Free,Power-User,2022-12-29,False
V0144,64,M,Phoenix,US,Premium,Casual,2023-08-15,True
