activity_id,viewer_id,movie_id,watch_date,watch_month,completion_pct,device,platform
A00001,V0001,M022,2025-01-23,2025-01,93,Tablet,Android
A00002,V0001,M003,2025-01-20,2025-01,32,Laptop,Android
A00003,V0002,M010,2025-03-09,2025-03,26,Mobile,Android
A00004,V0002,M002,2025-03-16,2025-03,60,Tablet,iOS
A00005,V0002,M004,2025-01-12,2025-01,37,TV,Web
A00006,V0002,M012,2025-04-23,2025-04,54,Mobile,Web
A00007,V0002,M011,2025-02-16,2025-02,71,Tablet,SmartTV
A00008,V0002,M009,2025-04-09,2025-04,81,Tablet,Android
A00009,V0002,M004,2025-02-03,2025-02,27,TV,iOS
A00010,V0002,M014,2025-05-04,2025-05,76,TV,SmartTV
A00011,V0002,M025,2025-04-02,2025-04,23,TV,SmartTV
A00012,V0002,M016,2025-01-29,2025-01,76,Mobile,iOS
A00013,V0002,M009,2025-03-22,2025-03,87,TV,Web
A00014,V0002,M017,2025-01-25,2025-01,51,Tablet,Web
A00015,V0002,M022,2025-04-09,2025-04,91,Mobile,iOS
A00016,V0002,M021,2025-02-10,2025-02,80,Tablet,Android
A00017,V0002,M003,2025-05-06,2025-05,50,Laptop,Web
A00018,V0002,M002,2025-02-27,2025-02,68,Tablet,Android
A00019,V0003,M015,2025-04-24,2025-04,77,Mobile,SmartTV
A00020,V0003,M015,2025-03-22,2025-03,83,Mobile,iOS
A00021,V0003,M013,2025-04-16,2025-04,91,Mobile,iOS
A00022,V0003,M020,2025-03-19,2025-03,91,TV,SmartTV
A00023,V0004,M012,2025-01-14,2025-01,78,Laptop,SmartTV
A00024,V0004,M023,2025-04-04,2025-04,77,Mobile,iOS
A00025,V0004,M025,2025-02-26,2025-02,63,Laptop,Web
A00026,V0004,M018,2025-04-06,2025-04,33,Mobile,Android
A00027,V0004,M016,2025-02-05,2025-02,72,Mobile,Web
A00028,V0004,M020,2025-02-20,2025-02,35,Tablet,Android
A00029,V0004,M015,2025-02-18,2025-02,63,Mobile,SmartTV
A00030,V0004,M002,2025-02-01,2025-02,78,TV,SmartTV
A00031,V0004,M001,2025-01-13,2025-01,75,Tablet,Android
A00032,V0004,M023,2025-02-14,2025-02,36,Mobile,SmartTV
A00033,V0004,M022,2025-03-24,2025-03,69,Tablet,Android
A00034,V0004,M009,2025-04-12,2025-04,57,Tablet,Android
A00035,V0005,M014,2025-03-18,2025-03,90,Laptop,Android
A00036,V0005,M007,2025-02-23,2025-02,57,Laptop,Android
A00037,V0005,M023,2025-02-15,2025-02,89,Laptop,iOS
A00038,V0005,M025,2025-04-01,2025-04,81,Tablet,Web
A00039,V0005,M014,2025-01-04,2025-01,33,Mobile,SmartTV
A00040,V0005,M005,2025-01-14,2025-01,27,TV,Web
A00041,V0006,M010,2025-03-06,2025-03,27,Laptop,Android
A00042,V0006,M025,2025-01-09,2025-01,77,Mobile,Android
A00043,V0006,M024,2025-04-10,2025-04,85,Laptop,iOS
A00044,V0006,M013,2025-04-10,2025-04,60,Mobile,iOS
